"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.950251017E1,2.381248169E0,1.089733887E-1,1.804482559E1,1.820159193E1
2.951248217E1,3.446133728E0,-1.345402222E0,1.982716919E1,2.016934761E1
2.952245517E1,4.435875549E0,-1.775308228E0,2.169244034E1,2.221239922E1
2.953242817E1,3.421285400E0,-1.898502045E0,2.378793274E1,2.410757656E1
2.954240017E1,1.385518799E0,-7.048841858E-1,2.398162994E1,2.403195995E1
2.955237317E1,-1.538800049E-1,2.453098755E0,2.234089188E1,2.247569404E1
2.956234617E1,-1.295705566E0,4.518952789E0,1.884356461E1,1.942111517E1
2.957231917E1,-1.418899384E0,3.881278839E0,1.409813278E1,1.469132223E1
2.958229117E1,-7.843688965E-2,3.433260498E0,8.361761627E0,9.039495976E0
2.959226417E1,1.666634216E0,1.991608429E0,2.363435211E0,3.511409937E0
2.960223717E1,2.651885376E0,-6.421646118E-2,-3.260220337E0,4.203053229E0
2.961221017E1,3.276237030E0,1.541793823E-2,-8.948242035E0,9.529165877E0
2.962218217E1,3.067271576E0,1.065035248E0,-1.274704239E1,1.315406951E1
2.963215517E1,2.442321167E0,3.256777496E0,-1.363110397E1,1.422598074E1
2.964212817E1,1.409319305E0,5.637726288E0,-1.169982010E1,1.306353432E1
2.965210117E1,4.884342957E-1,8.576115875E0,-9.344767456E0,1.269302999E1
2.966207317E1,6.262976074E-1,1.229692841E1,-8.413553925E0,1.491290000E1
2.967204617E1,2.115401001E0,1.413690216E1,-7.896678772E0,1.633047641E1
2.968201917E1,4.179009705E0,1.263223114E1,-8.137378235E0,1.559661214E1
2.969199217E1,5.056634674E0,1.064960403E1,-9.754914551E0,1.530169854E1
2.970196417E1,3.947141876E0,1.067026108E1,-1.349563568E1,1.765124876E1
2.971193717E1,2.183359680E0,1.184756287E1,-1.737122635E1,2.113980393E1
2.972191017E1,9.921368408E-1,1.227163101E1,-1.933888458E1,2.292530742E1
2.973188317E1,9.078620911E-1,1.315928513E1,-1.944890579E1,2.350001990E1
2.974185517E1,1.915566559E0,1.435155579E1,-1.804572372E1,2.313622038E1
2.975182817E1,3.132386169E0,1.494596970E1,-1.275707153E1,1.989815889E1
2.976180117E1,5.158423004E0,1.486873032E1,-6.538553009E0,1.704233389E1
2.977177417E1,7.027436371E0,1.498548752E1,-1.138831787E0,1.659055864E1
2.978174617E1,8.483159180E0,1.383932098E1,3.629352722E0,1.663318960E1
2.979171917E1,8.529562683E0,1.235051697E1,6.413413239E0,1.632239499E1
2.980169217E1,7.115303650E0,1.270333328E1,5.505850525E0,1.556652217E1
2.981166517E1,5.272635498E0,1.405502243E1,1.895807648E0,1.513071139E1
2.982163717E1,3.635489960E0,1.369202728E1,-2.193239136E0,1.433522571E1
2.983161017E1,2.406096497E0,1.304686890E1,-6.830595703E0,1.492203492E1
2.984158317E1,1.876946869E0,1.330508194E1,-1.079180832E1,1.723401467E1
